,ID,MaritalStatus,Con,Time,AU_Val,AU_Val1,AU_Expr
0,B2002,2,1,2.45,['fake'],fake,fake
1,B2002,2,1,2.46,['fake'],fake,fake
2,B2002,2,1,2.47,['fake'],fake,fake
3,B2002,2,1,2.48,['fake'],fake,fake
4,B2002,2,1,2.49,['fake'],fake,fake
5,B2002,2,1,2.5,['fake'],fake,fake
6,B2002,2,1,2.51,['fake'],fake,fake
7,B2002,2,1,2.52,['fake'],fake,fake
8,B2002,2,1,2.53,['fake'],fake,fake
9,B2002,2,1,2.54,['fake'],fake,fake
10,B2002,2,1,2.55,['fake'],fake,fake
11,B2002,2,1,2.56,['fake'],fake,fake
12,B2002,2,1,2.57,['fake'],fake,fake
13,B2002,2,1,2.58,['fake'],fake,fake
14,B2002,2,1,2.59,['fake'],fake,fake
15,B2002,2,1,3,['fake'],fake,fake
16,B2002,2,1,3.01,['fake'],fake,fake
17,B2002,2,1,3.02,['fake'],fake,fake
18,B2002,2,1,3.03,['fake'],fake,fake
19,B2002,2,1,3.04,['fake'],fake,fake
20,B2002,2,1,3.05,['fake'],fake,fake
21,B2002,2,1,3.06,['fake'],fake,fake
22,B2002,2,1,3.07,['fake'],fake,fake
23,B2002,2,1,3.08,['fake'],fake,fake
24,B2002,2,1,3.09,['fake'],fake,fake
25,B2002,2,1,3.1,['fake'],fake,fake
26,B2002,2,1,3.11,['fake'],fake,fake
27,B2002,2,1,3.12,['fake'],fake,fake
28,B2002,2,1,3.13,['fake'],fake,fake
29,B2002,2,1,3.14,['AU17'],['AU17'],fake
30,B2002,2,1,3.15,['fake'],fake,fake
31,B2002,2,1,3.16,['fake'],fake,fake
32,B2002,2,1,3.17,['fake'],fake,fake
33,B2002,2,1,3.18,['fake'],fake,fake
34,B2002,2,1,3.19,['fake'],fake,fake
35,B2002,2,1,3.2,['fake'],fake,fake
36,B2002,2,1,3.21,['fake'],fake,fake
37,B2002,2,1,3.22,['AU12'],['AU12'],fake
38,B2002,2,1,3.23,"['AU1', 'AU2', 'AU15', 'AU17', 'AU24']","['AU1', 'AU2', 'AU15', 'AU17', 'AU24']",fake
39,B2002,2,1,3.24,"['AU1', 'AU2']","['AU1', 'AU2']",fake
40,B2002,2,1,3.25,['AU6'],['AU6'],fake
41,B2002,2,1,3.26,"['AU6', 'AU12', 'AU17']","['AU6', 'AU12', 'AU17']",fake
42,B2002,2,1,3.27,"['AU12', 'AU17', 'AU24']","['AU12', 'AU17', 'AU24']",fake
43,B2002,2,1,3.28,['fake'],fake,fake
44,B2002,2,1,3.29,['fake'],fake,fake
45,B2002,2,1,3.3,['fake'],fake,fake
46,B2002,2,1,3.31,['fake'],fake,fake
47,B2002,2,1,3.32,"['AU17', 'AU28']","['AU17', 'AU28']",fake
48,B2002,2,1,3.33,['fake'],fake,fake
49,B2002,2,1,3.34,['fake'],fake,fake
50,B2002,2,1,3.35,['fake'],fake,fake
